subject_id,fold_id,accuracy,balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,n_train,n_test,embedding_dim
25,0,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
25,1,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
25,2,0.4375,0.4375,0.125,0.75,"[[1, 7], [2, 6]]",False,0.8125,"[3, 13]",24,16,20
25,3,0.6875,0.6875,0.5,0.875,"[[4, 4], [1, 7]]",False,0.6875,"[5, 11]",24,16,20
25,4,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
25,5,0.4375,0.4375,0.125,0.75,"[[1, 7], [2, 6]]",False,0.8125,"[3, 13]",24,16,20
25,6,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
25,7,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
25,8,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
25,9,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
26,0,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
26,1,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
26,2,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
26,3,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
26,4,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
26,5,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
26,6,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
26,7,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
26,8,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
26,9,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
27,0,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
27,1,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
27,2,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
27,3,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
27,4,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
27,5,0.5625,0.5625,0.875,0.25,"[[7, 1], [6, 2]]",False,0.8125,"[13, 3]",24,16,20
27,6,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
27,7,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
27,8,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
27,9,0.6875,0.6875,1.0,0.375,"[[8, 0], [5, 3]]",False,0.8125,"[13, 3]",24,16,20
28,0,0.4375,0.4375,0.0,0.875,"[[0, 8], [1, 7]]",False,0.9375,"[1, 15]",24,16,20
28,1,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
28,2,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
28,3,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
28,4,0.25,0.25,0.375,0.125,"[[3, 5], [7, 1]]",False,0.625,"[10, 6]",24,16,20
28,5,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
28,6,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
28,7,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
28,8,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
28,9,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
29,0,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
29,1,0.1875,0.1875,0.125,0.25,"[[1, 7], [6, 2]]",False,0.5625,"[7, 9]",24,16,20
29,2,0.1875,0.1875,0.125,0.25,"[[1, 7], [6, 2]]",False,0.5625,"[7, 9]",24,16,20
29,3,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
29,4,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
29,5,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
29,6,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
29,7,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
29,8,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
29,9,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
30,0,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
30,1,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
30,2,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
30,3,0.25,0.25,0.375,0.125,"[[3, 5], [7, 1]]",False,0.625,"[10, 6]",24,16,20
30,4,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
30,5,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
30,6,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
30,7,0.25,0.25,0.375,0.125,"[[3, 5], [7, 1]]",False,0.625,"[10, 6]",24,16,20
30,8,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
30,9,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
31,0,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
31,1,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
31,2,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
31,3,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
31,4,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
31,5,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
31,6,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
31,7,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
31,8,0.3125,0.3125,0.125,0.5,"[[1, 7], [4, 4]]",False,0.6875,"[5, 11]",24,16,20
31,9,0.25,0.25,0.375,0.125,"[[3, 5], [7, 1]]",False,0.625,"[10, 6]",24,16,20
32,0,0.3125,0.3125,0.0,0.625,"[[0, 8], [3, 5]]",False,0.8125,"[3, 13]",24,16,20
32,1,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
32,2,0.4375,0.4375,0.75,0.125,"[[6, 2], [7, 1]]",False,0.8125,"[13, 3]",24,16,20
32,3,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
32,4,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
32,5,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
32,6,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
32,7,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
32,8,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
32,9,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
33,0,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
33,1,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
33,2,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
33,3,0.625,0.625,0.75,0.5,"[[6, 2], [4, 4]]",False,0.625,"[10, 6]",24,16,20
33,4,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
33,5,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
33,6,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
33,7,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
33,8,0.625,0.625,0.625,0.625,"[[5, 3], [3, 5]]",False,0.5,"[8, 8]",24,16,20
33,9,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
34,0,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
34,1,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
34,2,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
34,3,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
34,4,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
34,5,0.25,0.25,0.25,0.25,"[[2, 6], [6, 2]]",False,0.5,"[8, 8]",24,16,20
34,6,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
34,7,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
34,8,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
34,9,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
35,0,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
35,1,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
35,2,0.5,0.5,0.75,0.25,"[[6, 2], [6, 2]]",False,0.75,"[12, 4]",24,16,20
35,3,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
35,4,0.25,0.25,0.0,0.5,"[[0, 8], [4, 4]]",False,0.75,"[4, 12]",24,16,20
35,5,0.6875,0.6875,0.75,0.625,"[[6, 2], [3, 5]]",False,0.5625,"[9, 7]",24,16,20
35,6,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
35,7,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
35,8,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
35,9,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
36,0,0.25,0.25,0.375,0.125,"[[3, 5], [7, 1]]",False,0.625,"[10, 6]",24,16,20
36,1,0.4375,0.4375,0.125,0.75,"[[1, 7], [2, 6]]",False,0.8125,"[3, 13]",24,16,20
36,2,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
36,3,0.3125,0.3125,0.125,0.5,"[[1, 7], [4, 4]]",False,0.6875,"[5, 11]",24,16,20
36,4,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
36,5,0.25,0.25,0.25,0.25,"[[2, 6], [6, 2]]",False,0.5,"[8, 8]",24,16,20
36,6,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
36,7,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
36,8,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
36,9,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
37,0,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
37,1,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
37,2,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
37,3,0.625,0.625,0.25,1.0,"[[2, 6], [0, 8]]",False,0.875,"[2, 14]",24,16,20
37,4,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
37,5,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
37,6,0.3125,0.3125,0.125,0.5,"[[1, 7], [4, 4]]",False,0.6875,"[5, 11]",24,16,20
37,7,0.5,0.5,0.75,0.25,"[[6, 2], [6, 2]]",False,0.75,"[12, 4]",24,16,20
37,8,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
37,9,0.25,0.25,0.125,0.375,"[[1, 7], [5, 3]]",False,0.625,"[6, 10]",24,16,20
38,0,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
38,1,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
38,2,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
38,3,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
38,4,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
38,5,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
38,6,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
38,7,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
38,8,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
38,9,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
39,0,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
39,1,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
39,2,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
39,3,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
39,4,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
39,5,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
39,6,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
39,7,0.5625,0.5625,0.875,0.25,"[[7, 1], [6, 2]]",False,0.8125,"[13, 3]",24,16,20
39,8,0.625,0.625,0.375,0.875,"[[3, 5], [1, 7]]",False,0.75,"[4, 12]",24,16,20
39,9,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
40,0,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
40,1,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
40,2,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
40,3,0.25,0.25,0.125,0.375,"[[1, 7], [5, 3]]",False,0.625,"[6, 10]",24,16,20
40,4,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
40,5,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
40,6,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
40,7,0.1875,0.1875,0.125,0.25,"[[1, 7], [6, 2]]",False,0.5625,"[7, 9]",24,16,20
40,8,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
40,9,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
41,0,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
41,1,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
41,2,0.5,0.5,0.25,0.75,"[[2, 6], [2, 6]]",False,0.75,"[4, 12]",24,16,20
41,3,0.625,0.625,0.75,0.5,"[[6, 2], [4, 4]]",False,0.625,"[10, 6]",24,16,20
41,4,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
41,5,0.25,0.25,0.375,0.125,"[[3, 5], [7, 1]]",False,0.625,"[10, 6]",24,16,20
41,6,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
41,7,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
41,8,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
41,9,0.1875,0.1875,0.375,0.0,"[[3, 5], [8, 0]]",False,0.6875,"[11, 5]",24,16,20
42,0,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
42,1,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
42,2,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
42,3,0.25,0.25,0.25,0.25,"[[2, 6], [6, 2]]",False,0.5,"[8, 8]",24,16,20
42,4,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
42,5,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
42,6,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
42,7,0.5,0.5,0.75,0.25,"[[6, 2], [6, 2]]",False,0.75,"[12, 4]",24,16,20
42,8,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
42,9,0.625,0.625,0.625,0.625,"[[5, 3], [3, 5]]",False,0.5,"[8, 8]",24,16,20
43,0,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
43,1,0.5,0.5,0.125,0.875,"[[1, 7], [1, 7]]",False,0.875,"[2, 14]",24,16,20
43,2,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
43,3,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
43,4,0.6875,0.6875,0.75,0.625,"[[6, 2], [3, 5]]",False,0.5625,"[9, 7]",24,16,20
43,5,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
43,6,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
43,7,0.6875,0.6875,0.75,0.625,"[[6, 2], [3, 5]]",False,0.5625,"[9, 7]",24,16,20
43,8,0.625,0.625,0.875,0.375,"[[7, 1], [5, 3]]",False,0.75,"[12, 4]",24,16,20
43,9,0.1875,0.1875,0.0,0.375,"[[0, 8], [5, 3]]",False,0.6875,"[5, 11]",24,16,20
44,0,0.3125,0.3125,0.125,0.5,"[[1, 7], [4, 4]]",False,0.6875,"[5, 11]",24,16,20
44,1,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
44,2,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
44,3,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
44,4,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
44,5,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
44,6,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
44,7,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
44,8,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
44,9,0.5,0.5,0.375,0.625,"[[3, 5], [3, 5]]",False,0.625,"[6, 10]",24,16,20
45,0,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
45,1,0.5,0.5,0.75,0.25,"[[6, 2], [6, 2]]",False,0.75,"[12, 4]",24,16,20
45,2,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
45,3,0.5,0.5,0.125,0.875,"[[1, 7], [1, 7]]",False,0.875,"[2, 14]",24,16,20
45,4,0.25,0.25,0.25,0.25,"[[2, 6], [6, 2]]",False,0.5,"[8, 8]",24,16,20
45,5,0.5625,0.5625,0.625,0.5,"[[5, 3], [4, 4]]",False,0.5625,"[9, 7]",24,16,20
45,6,0.8125,0.8125,0.875,0.75,"[[7, 1], [2, 6]]",False,0.5625,"[9, 7]",24,16,20
45,7,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
45,8,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
45,9,0.25,0.25,0.125,0.375,"[[1, 7], [5, 3]]",False,0.625,"[6, 10]",24,16,20
46,0,0.125,0.125,0.125,0.125,"[[1, 7], [7, 1]]",False,0.5,"[8, 8]",24,16,20
46,1,0.3125,0.3125,0.625,0.0,"[[5, 3], [8, 0]]",False,0.8125,"[13, 3]",24,16,20
46,2,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
46,3,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
46,4,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
46,5,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
46,6,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
46,7,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
46,8,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
46,9,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
47,0,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
47,1,0.5625,0.5625,0.75,0.375,"[[6, 2], [5, 3]]",False,0.6875,"[11, 5]",24,16,20
47,2,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
47,3,0.25,0.25,0.375,0.125,"[[3, 5], [7, 1]]",False,0.625,"[10, 6]",24,16,20
47,4,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
47,5,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
47,6,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
47,7,0.4375,0.4375,0.5,0.375,"[[4, 4], [5, 3]]",False,0.5625,"[9, 7]",24,16,20
47,8,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
47,9,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
48,0,0.3125,0.3125,0.5,0.125,"[[4, 4], [7, 1]]",False,0.6875,"[11, 5]",24,16,20
48,1,0.5,0.5,0.75,0.25,"[[6, 2], [6, 2]]",False,0.75,"[12, 4]",24,16,20
48,2,0.4375,0.4375,0.625,0.25,"[[5, 3], [6, 2]]",False,0.6875,"[11, 5]",24,16,20
48,3,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
48,4,0.5,0.5,0.875,0.125,"[[7, 1], [7, 1]]",False,0.875,"[14, 2]",24,16,20
48,5,0.375,0.375,0.375,0.375,"[[3, 5], [5, 3]]",False,0.5,"[8, 8]",24,16,20
48,6,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
48,7,0.375,0.375,0.5,0.25,"[[4, 4], [6, 2]]",False,0.625,"[10, 6]",24,16,20
48,8,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
48,9,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
49,0,0.3125,0.3125,0.25,0.375,"[[2, 6], [5, 3]]",False,0.5625,"[7, 9]",24,16,20
49,1,0.5625,0.5625,0.375,0.75,"[[3, 5], [2, 6]]",False,0.6875,"[5, 11]",24,16,20
