subject_id,repeat_id,method_name,window_name,window_start_sample,window_stop_sample,n_train,n_test,n_channels,n_times,train_indices_0based,test_indices_0based,train_class_counts,test_class_counts,n_features,accuracy,balanced_accuracy,kappa_sklearn,precision_macro,sensitivity_macro,prediction_counts,confusion_matrix_standard_labels_1_2,confusion_matrix_author_labels_2_1,left_total,left_correct,right_total,right_correct
2,7,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[13, 12, 29, 33, 31, 36, 0, 32, 35, 28, 26, 1, 5, 3, 4, 7, 30, 34, 21, 14, 15, 24, 38, 23]","[6, 9, 2, 8, 19, 17, 16, 39, 25, 20, 11, 37, 10, 27, 22, 18]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,25.0,25.0,-0.5,23.333333333333332,25.0,"{1: 6, 2: 10}","[[1, 7], [5, 3]]","[[3, 5], [7, 1]]",8,1,8,3
2,7,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[13, 12, 29, 33, 31, 36, 0, 32, 35, 28, 26, 1, 5, 3, 4, 7, 30, 34, 21, 14, 15, 24, 38, 23]","[6, 9, 2, 8, 19, 17, 16, 39, 25, 20, 11, 37, 10, 27, 22, 18]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,31.25,31.25,-0.375,28.181818181818187,31.25,"{1: 5, 2: 11}","[[1, 7], [4, 4]]","[[4, 4], [7, 1]]",8,1,8,4
2,8,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[29, 19, 25, 7, 18, 28, 0, 26, 33, 38, 32, 8, 35, 23, 37, 13, 1, 10, 31, 22, 14, 4, 34, 9]","[24, 12, 15, 21, 39, 27, 20, 30, 6, 16, 5, 17, 11, 3, 36, 2]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,37.5,37.5,-0.25,36.66666666666667,37.5,"{1: 10, 2: 6}","[[4, 4], [6, 2]]","[[2, 6], [4, 4]]",8,4,8,2
2,8,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[29, 19, 25, 7, 18, 28, 0, 26, 33, 38, 32, 8, 35, 23, 37, 13, 1, 10, 31, 22, 14, 4, 34, 9]","[24, 12, 15, 21, 39, 27, 20, 30, 6, 16, 5, 17, 11, 3, 36, 2]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,50.0,50.0,0.0,50.0,50.0,"{1: 8, 2: 8}","[[4, 4], [4, 4]]","[[4, 4], [4, 4]]",8,4,8,4
2,9,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[8, 30, 19, 21, 35, 38, 26, 16, 39, 6, 13, 25, 7, 27, 32, 17, 12, 10, 1, 4, 31, 34, 9, 22]","[20, 36, 28, 3, 18, 33, 24, 2, 11, 0, 23, 37, 15, 5, 14, 29]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,50.0,50.0,0.0,50.0,50.0,"{1: 6, 2: 10}","[[3, 5], [3, 5]]","[[5, 3], [5, 3]]",8,3,8,5
2,9,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[8, 30, 19, 21, 35, 38, 26, 16, 39, 6, 13, 25, 7, 27, 32, 17, 12, 10, 1, 4, 31, 34, 9, 22]","[20, 36, 28, 3, 18, 33, 24, 2, 11, 0, 23, 37, 15, 5, 14, 29]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,43.75,43.75,-0.125,43.65079365079365,43.75,"{1: 7, 2: 9}","[[3, 5], [4, 4]]","[[4, 4], [5, 3]]",8,3,8,4
2,10,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[23, 33, 28, 6, 10, 32, 9, 12, 27, 24, 36, 14, 29, 34, 2, 17, 19, 1, 35, 31, 16, 7, 37, 30]","[38, 39, 0, 20, 3, 15, 22, 26, 11, 13, 21, 4, 18, 25, 5, 8]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,43.75,43.75,-0.125,23.333333333333332,43.75,"{1: 1, 2: 15}","[[0, 8], [1, 7]]","[[7, 1], [8, 0]]",8,0,8,7
2,10,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[23, 33, 28, 6, 10, 32, 9, 12, 27, 24, 36, 14, 29, 34, 2, 17, 19, 1, 35, 31, 16, 7, 37, 30]","[38, 39, 0, 20, 3, 15, 22, 26, 11, 13, 21, 4, 18, 25, 5, 8]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,50.0,50.0,0.0,50.0,50.0,"{1: 2, 2: 14}","[[1, 7], [1, 7]]","[[7, 1], [7, 1]]",8,1,8,7
3,1,CSP_LDA,0_4s,0,2000,24,16,29,2000,"[10, 1, 9, 4, 11, 17, 28, 27, 29, 24, 15, 20, 37, 33, 6, 18, 2, 8, 35, 0, 5, 16, 21, 36]","[31, 13, 32, 7, 22, 3, 26, 34, 23, 12, 19, 14, 30, 25, 38, 39]","{1: 12, 2: 12}","{1: 8, 2: 8}",4,50.0,50.0,0.0,50.0,50.0,"{1: 4, 2: 12}","[[2, 6], [2, 6]]","[[6, 2], [6, 2]]",8,2,8,6
3,1,FBCSP_SVM,0_4s,0,2000,24,16,29,2000,"[10, 1, 9, 4, 11, 17, 28, 27, 29, 24, 15, 20, 37, 33, 6, 18, 2, 8, 35, 0, 5, 16, 21, 36]","[31, 13, 32, 7, 22, 3, 26, 34, 23, 12, 19, 14, 30, 25, 38, 39]","{1: 12, 2: 12}","{1: 8, 2: 8}",76,50.0,50.0,0.0,50.0,50.0,"{1: 6, 2: 10}","[[3, 5], [3, 5]]","[[5, 3], [5, 3]]",8,3,8,5
