method_name,model_name,subject_id,fold_id,accuracy,accuracy_percent,balanced_accuracy,balanced_accuracy_percent,n_train,n_test,train_class_counts,test_class_counts,prediction_histogram,collapse_ratio,collapse_flag,mean_confidence,mean_normalized_prediction_entropy,best_epoch,stopped_epoch,epochs_ran,best_valid_loss,fold_seed
EEGNetv4__eegnet_preprocess,EEGNetv4,20,3,0.875,87.5,0.875,87.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.50047266,0.99999898,1,41,41,0.6919450163841248,15
EEGNetv4__eegnet_preprocess,EEGNetv4,20,4,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.50207341,0.99998544,5,44,44,0.6939294338226318,16
EEGNetv4__eegnet_preprocess,EEGNetv4,20,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.51581225,0.99925879,35,74,74,0.6924091577529907,17
EEGNetv4__eegnet_preprocess,EEGNetv4,21,1,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50195063,0.99998546,1,41,41,0.6944818496704102,13
EEGNetv4__eegnet_preprocess,EEGNetv4,21,2,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[7, 1]",0.875,False,0.50107127,0.99999548,1,41,41,0.6930392980575562,14
EEGNetv4__eegnet_preprocess,EEGNetv4,21,3,0.25,25.0,0.25,25.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.65063909,0.87443375,109,149,149,0.6460695266723633,15
EEGNetv4__eegnet_preprocess,EEGNetv4,21,4,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.50095172,0.99999604,1,41,41,0.6930665969848633,16
EEGNetv4__eegnet_preprocess,EEGNetv4,21,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50291769,0.99993065,1,41,41,0.6929688453674316,17
EEGNetv4__eegnet_preprocess,EEGNetv4,22,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.50546743,0.99990062,13,52,52,0.6921967267990112,13
EEGNetv4__eegnet_preprocess,EEGNetv4,22,2,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.57644749,0.9819007,62,102,102,0.687422513961792,14
EEGNetv4__eegnet_preprocess,EEGNetv4,22,3,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.61485247,0.96106018,84,124,124,0.6674016118049622,15
EEGNetv4__eegnet_preprocess,EEGNetv4,22,4,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50103207,0.99999616,3,41,41,0.6942242383956909,16
EEGNetv4__eegnet_preprocess,EEGNetv4,22,5,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[2, 6]",0.75,False,0.75763238,0.63796341,289,300,300,0.3436947464942932,17
EEGNetv4__eegnet_preprocess,EEGNetv4,23,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50117847,0.99999225,1,41,41,0.694365382194519,13
EEGNetv4__eegnet_preprocess,EEGNetv4,23,2,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.67154153,0.86896302,205,245,245,0.5245214700698853,14
EEGNetv4__eegnet_preprocess,EEGNetv4,23,3,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[7, 1]",0.875,False,0.64258242,0.92216222,125,165,165,0.6681316494941711,15
EEGNetv4__eegnet_preprocess,EEGNetv4,23,4,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.52235722,0.99820432,130,169,169,0.6777158379554749,16
EEGNetv4__eegnet_preprocess,EEGNetv4,23,5,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50109092,0.99999277,19,57,57,0.6936281323432922,17
EEGNetv4__eegnet_preprocess,EEGNetv4,24,1,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[7, 1]",0.875,False,0.50148215,0.9999915,1,41,41,0.6943259239196777,13
EEGNetv4__eegnet_preprocess,EEGNetv4,24,2,0.375,37.5,0.375,37.5,32,8,"[16, 16]","[4, 4]","[5, 3]",0.625,False,0.5008664,0.99999708,1,41,41,0.6936140656471252,14
EEGNetv4__eegnet_preprocess,EEGNetv4,24,3,0.25,25.0,0.25,25.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.56068419,0.98205027,147,187,187,0.6452672481536865,15
EEGNetv4__eegnet_preprocess,EEGNetv4,24,4,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50117216,0.99999335,1,41,41,0.6925578117370605,16
EEGNetv4__eegnet_preprocess,EEGNetv4,24,5,0.125,12.5,0.125,12.5,32,8,"[16, 16]","[4, 4]","[3, 5]",0.625,False,0.63703635,0.91439383,231,271,271,0.6016690731048584,17
EEGNetv4__eegnet_preprocess,EEGNetv4,25,1,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[0, 8]",1.0,True,0.51457115,0.9992801,62,101,101,0.6904891133308411,13
EEGNetv4__eegnet_preprocess,EEGNetv4,25,2,0.25,25.0,0.25,25.0,32,8,"[16, 16]","[4, 4]","[4, 4]",0.5,False,0.50176674,0.99998977,1,41,41,0.6948613524436951,14
EEGNetv4__eegnet_preprocess,EEGNetv4,25,3,0.625,62.5,0.625,62.5,32,8,"[16, 16]","[4, 4]","[1, 7]",0.875,False,0.53418596,0.99554719,116,156,156,0.6807605028152466,15
EEGNetv4__eegnet_preprocess,EEGNetv4,25,4,0.75,75.0,0.75,75.0,32,8,"[16, 16]","[4, 4]","[6, 2]",0.75,False,0.50180808,0.99998744,10,41,41,0.6930791735649109,16
EEGNetv4__eegnet_preprocess,EEGNetv4,25,5,0.5,50.0,0.5,50.0,32,8,"[16, 16]","[4, 4]","[8, 0]",1.0,True,0.59691235,0.93947852,100,140,140,0.6835504770278931,17
