dataset_name,subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
Liu2024_SourceMAT,34,1,0.875,0.875,"[3, 5]",0.625,False,1,0.08015501,0.01137066,0.0685923,True,0.59297887,0.97062876,2170
Liu2024_SourceMAT,34,2,0.75,0.75,"[4, 4]",0.5,False,0,0.07496343,0.01146461,0.06414963,True,0.58598111,0.96488846,2170
Liu2024_SourceMAT,34,3,0.625,0.625,"[7, 1]",0.875,False,0,0.07970434,0.01158696,0.06820664,True,0.57983859,0.9751489,2170
Liu2024_SourceMAT,34,4,0.875,0.875,"[3, 5]",0.625,False,1,0.05353885,0.00852424,0.04581564,True,0.55659541,0.98848432,2170
Liu2024_SourceMAT,34,5,0.625,0.625,"[7, 1]",0.875,False,0,0.06915447,0.01181699,0.05917863,True,0.62490888,0.94838422,2170
Liu2024_SourceMAT,35,1,0.375,0.375,"[7, 1]",0.875,False,0,0.00929576,0.00100017,0.00795481,True,0.53391958,0.99570682,2170
Liu2024_SourceMAT,35,2,0.25,0.25,"[4, 4]",0.5,False,0,0.00946485,0.00100017,0.00809951,True,0.54887517,0.99157604,2170
Liu2024_SourceMAT,35,3,0.625,0.625,"[5, 3]",0.625,False,0,0.0053851,0.00050001,0.00460828,True,0.52882361,0.99712509,2170
Liu2024_SourceMAT,35,4,0.5,0.5,"[6, 2]",0.75,False,0,0.00954816,0.00100019,0.0081708,True,0.53350291,0.99620685,2170
Liu2024_SourceMAT,35,5,0.75,0.75,"[6, 2]",0.75,False,0,0.01277626,0.0014995,0.01093323,True,0.53887985,0.99431159,2170
Liu2024_SourceMAT,36,1,0.625,0.625,"[3, 5]",0.625,False,1,0.00538512,0.00050001,0.0046083,True,0.53579789,0.99566442,2170
Liu2024_SourceMAT,36,2,0.375,0.375,"[7, 1]",0.875,False,0,0.01238146,0.00149901,0.01059538,True,0.53465965,0.99448793,2170
Liu2024_SourceMAT,36,3,0.25,0.25,"[4, 4]",0.5,False,0,0.00538515,0.00050001,0.00460832,True,0.54101842,0.99332523,2170
Liu2024_SourceMAT,36,4,0.5,0.5,"[4, 4]",0.5,False,0,0.07966441,0.01192693,0.06817247,True,0.54288288,0.9902664,2170
Liu2024_SourceMAT,36,5,0.75,0.75,"[6, 2]",0.75,False,0,0.00538512,0.00050001,0.0046083,True,0.52783201,0.99699471,2170
Liu2024_SourceMAT,37,1,0.375,0.375,"[3, 5]",0.625,False,1,0.06347415,0.01014779,0.05431773,True,0.59408413,0.96042242,2170
Liu2024_SourceMAT,37,2,0.625,0.625,"[3, 5]",0.625,False,1,0.00538514,0.00050001,0.00460831,True,0.53233248,0.99546319,2170
Liu2024_SourceMAT,37,3,0.625,0.625,"[7, 1]",0.875,False,0,0.06146732,0.01065449,0.0526004,True,0.59849066,0.96415196,2170
Liu2024_SourceMAT,37,4,0.25,0.25,"[2, 6]",0.75,False,1,0.02458902,0.00343364,0.02104194,True,0.53111164,0.99509166,2170
Liu2024_SourceMAT,37,5,0.625,0.625,"[3, 5]",0.625,False,1,0.05527687,0.00776061,0.04730295,True,0.55405692,0.98884177,2170
Liu2024_SourceMAT,38,1,0.875,0.875,"[5, 3]",0.625,False,0,0.00538513,0.00050001,0.0046083,True,0.52269695,0.99739411,2170
Liu2024_SourceMAT,38,2,0.625,0.625,"[3, 5]",0.625,False,1,0.08881405,0.01267635,0.07600224,True,0.56376339,0.98361983,2170
Liu2024_SourceMAT,38,3,0.75,0.75,"[6, 2]",0.75,False,0,0.09679525,0.01279505,0.08283211,True,0.57955787,0.97594351,2170
Liu2024_SourceMAT,38,4,0.625,0.625,"[5, 3]",0.625,False,0,0.0852843,0.01225171,0.07298167,True,0.5959808,0.96411753,2170
Liu2024_SourceMAT,38,5,0.375,0.375,"[5, 3]",0.625,False,0,0.07888236,0.01129431,0.06750324,True,0.54628799,0.99122496,2170
Liu2024_SourceMAT,39,1,0.5,0.5,"[4, 4]",0.5,False,0,0.01206777,0.00149115,0.01032695,True,0.53455756,0.99383739,2170
Liu2024_SourceMAT,39,2,0.375,0.375,"[5, 3]",0.625,False,0,0.01743298,0.00248502,0.0149182,True,0.54054388,0.99309259,2170
Liu2024_SourceMAT,39,3,0.75,0.75,"[4, 4]",0.5,False,0,0.03722314,0.00597657,0.03185354,True,0.54824749,0.99009691,2170
Liu2024_SourceMAT,39,4,0.5,0.5,"[6, 2]",0.75,False,0,0.01312644,0.00149795,0.0112329,True,0.53223425,0.99495301,2170
Liu2024_SourceMAT,39,5,0.625,0.625,"[5, 3]",0.625,False,0,0.04096392,0.00795586,0.0350547,True,0.55465408,0.98933379,2170
Liu2024_SourceMAT,40,1,0.375,0.375,"[3, 5]",0.625,False,1,0.00538514,0.00050001,0.00460831,True,0.51484436,0.99903568,2170
Liu2024_SourceMAT,40,2,0.625,0.625,"[5, 3]",0.625,False,0,0.01638243,0.00198828,0.01401919,True,0.53210472,0.99536779,2170
Liu2024_SourceMAT,40,3,0.375,0.375,"[5, 3]",0.625,False,0,0.00538514,0.00050001,0.00460831,True,0.5267482,0.99504011,2170
Liu2024_SourceMAT,40,4,0.5,0.5,"[6, 2]",0.75,False,0,0.05456048,0.00922249,0.0466899,True,0.57223123,0.97907592,2170
Liu2024_SourceMAT,40,5,0.625,0.625,"[7, 1]",0.875,False,0,0.05353199,0.00799527,0.04580977,True,0.57240558,0.97328947,2170
Liu2024_SourceMAT,41,1,0.375,0.375,"[5, 3]",0.625,False,0,0.01609275,0.00199728,0.0137713,True,0.53765294,0.99250975,2170
Liu2024_SourceMAT,41,2,0.625,0.625,"[5, 3]",0.625,False,0,0.0770193,0.01173883,0.06590893,True,0.55907231,0.98533861,2170
Liu2024_SourceMAT,41,3,0.75,0.75,"[6, 2]",0.75,False,0,0.04923955,0.00650762,0.04213653,True,0.57172631,0.98165916,2170
Liu2024_SourceMAT,41,4,0.5,0.5,"[6, 2]",0.75,False,0,0.08630624,0.01222433,0.07385619,True,0.55885383,0.98356813,2170
Liu2024_SourceMAT,41,5,0.25,0.25,"[4, 4]",0.5,False,0,0.00538498,0.00050001,0.00460818,True,0.5280697,0.99668628,2170
Liu2024_SourceMAT,42,1,0.5,0.5,"[8, 0]",1.0,True,0,0.06696391,0.01041681,0.05730408,True,0.56288494,0.97954269,2170
Liu2024_SourceMAT,42,2,0.375,0.375,"[5, 3]",0.625,False,0,0.06741986,0.0102817,0.05769425,True,0.53524558,0.9928714,2170
Liu2024_SourceMAT,42,3,0.625,0.625,"[7, 1]",0.875,False,0,0.07436621,0.01184227,0.06363856,True,0.57622881,0.98055021,2170
Liu2024_SourceMAT,42,4,0.75,0.75,"[6, 2]",0.75,False,0,0.07100983,0.01017469,0.06076636,True,0.54716995,0.99262335,2170
Liu2024_SourceMAT,42,5,0.625,0.625,"[7, 1]",0.875,False,0,0.00538511,0.00050001,0.00460828,True,0.52567982,0.99723237,2170
Liu2024_SourceMAT,43,1,0.625,0.625,"[5, 3]",0.625,False,0,0.00538444,0.00050001,0.00460771,True,0.53043259,0.99617,2170
Liu2024_SourceMAT,43,2,0.375,0.375,"[7, 1]",0.875,False,0,0.0627266,0.01008455,0.05367801,True,0.6030903,0.95451879,2170
Liu2024_SourceMAT,43,3,0.5,0.5,"[6, 2]",0.75,False,0,0.00538514,0.00050001,0.00460831,True,0.54411945,0.99098095,2170
Liu2024_SourceMAT,43,4,0.375,0.375,"[7, 1]",0.875,False,0,0.07849073,0.0120199,0.0671681,True,0.54850406,0.98939701,2170
Liu2024_SourceMAT,43,5,0.5,0.5,"[4, 4]",0.5,False,0,0.00538509,0.00050001,0.00460827,True,0.53822966,0.99337533,2170
Liu2024_SourceMAT,44,1,0.625,0.625,"[7, 1]",0.875,False,0,0.08264756,0.01220959,0.07072529,True,0.54917157,0.99220459,2170
Liu2024_SourceMAT,44,2,0.375,0.375,"[5, 3]",0.625,False,0,0.00538512,0.00050001,0.00460829,True,0.54707631,0.99132941,2170
Liu2024_SourceMAT,44,3,0.625,0.625,"[3, 5]",0.625,False,1,0.04288307,0.00572176,0.036697,True,0.53670574,0.99536451,2170
Liu2024_SourceMAT,44,4,0.125,0.125,"[3, 5]",0.625,False,1,0.00538513,0.00050001,0.0046083,True,0.54738092,0.99090885,2170
Liu2024_SourceMAT,44,5,0.125,0.125,"[3, 5]",0.625,False,1,0.08890805,0.01254129,0.07608267,True,0.55313519,0.98841568,2170
Liu2024_SourceMAT,45,1,0.25,0.25,"[6, 2]",0.75,False,0,0.07755474,0.01139063,0.06636713,True,0.53963014,0.99450271,2170
Liu2024_SourceMAT,45,2,0.5,0.5,"[4, 4]",0.5,False,0,0.0457718,0.00613227,0.03916902,True,0.51720445,0.99824781,2170
Liu2024_SourceMAT,45,3,0.625,0.625,"[7, 1]",0.875,False,0,0.00538514,0.00050001,0.00460831,True,0.54350622,0.99211042,2170
Liu2024_SourceMAT,45,4,0.5,0.5,"[6, 2]",0.75,False,0,0.04770208,0.00609137,0.04082084,True,0.53437225,0.99580841,2170
Liu2024_SourceMAT,45,5,0.375,0.375,"[3, 5]",0.625,False,1,0.01280223,0.00149817,0.01095545,True,0.517989,0.99876338,2170
Liu2024_SourceMAT,46,1,0.25,0.25,"[2, 6]",0.75,False,1,0.05860469,0.00755789,0.05015071,True,0.52055895,0.99776616,2170
Liu2024_SourceMAT,46,2,0.375,0.375,"[5, 3]",0.625,False,0,0.00918416,0.00100019,0.00785931,True,0.53472407,0.99577533,2170
Liu2024_SourceMAT,46,3,0.75,0.75,"[4, 4]",0.5,False,0,0.00538514,0.00050001,0.00460831,True,0.5277857,0.9972479,2170
Liu2024_SourceMAT,46,4,0.5,0.5,"[6, 2]",0.75,False,0,0.00538514,0.00050001,0.00460831,True,0.55173601,0.98770668,2170
Liu2024_SourceMAT,46,5,0.25,0.25,"[6, 2]",0.75,False,0,0.00538513,0.00050001,0.0046083,True,0.52962372,0.99661081,2170
Liu2024_SourceMAT,47,1,0.375,0.375,"[3, 5]",0.625,False,1,0.07723984,0.01213494,0.06609766,True,0.56440102,0.98386139,2170
Liu2024_SourceMAT,47,2,0.25,0.25,"[4, 4]",0.5,False,0,0.04311072,0.00598086,0.03689181,True,0.55855088,0.98173006,2170
Liu2024_SourceMAT,47,3,0.5,0.5,"[6, 2]",0.75,False,0,0.07614932,0.01187799,0.06516445,True,0.54962125,0.99018268,2170
Liu2024_SourceMAT,47,4,0.625,0.625,"[3, 5]",0.625,False,1,0.00538514,0.00050001,0.00460831,True,0.52632877,0.99662996,2170
Liu2024_SourceMAT,47,5,0.125,0.125,"[5, 3]",0.625,False,0,0.00538512,0.00050001,0.0046083,True,0.52272321,0.99721813,2170
Liu2024_SourceMAT,48,1,0.5,0.5,"[6, 2]",0.75,False,0,0.05668625,0.00809208,0.04850901,True,0.54898212,0.98952454,2170
Liu2024_SourceMAT,48,2,0.625,0.625,"[5, 3]",0.625,False,0,0.00538513,0.00050001,0.0046083,True,0.54876824,0.98959893,2170
Liu2024_SourceMAT,48,3,0.625,0.625,"[7, 1]",0.875,False,0,0.02994356,0.00346253,0.02562407,True,0.55095063,0.98920025,2170
Liu2024_SourceMAT,48,4,0.625,0.625,"[5, 3]",0.625,False,0,0.06111747,0.00806624,0.05230101,True,0.53477721,0.99548044,2170
Liu2024_SourceMAT,48,5,0.25,0.25,"[6, 2]",0.75,False,0,0.00538515,0.00050001,0.00460832,True,0.53674677,0.99359842,2170
Liu2024_SourceMAT,49,1,0.5,0.5,"[6, 2]",0.75,False,0,0.08982302,0.01263513,0.07686566,True,0.55098897,0.98687756,2170
Liu2024_SourceMAT,49,2,0.375,0.375,"[5, 3]",0.625,False,0,0.00538514,0.00050001,0.00460831,True,0.53429105,0.99395044,2170
Liu2024_SourceMAT,49,3,0.625,0.625,"[5, 3]",0.625,False,0,0.04830234,0.00610003,0.04133452,True,0.53448482,0.9951468,2170
Liu2024_SourceMAT,49,4,0.5,0.5,"[6, 2]",0.75,False,0,0.0428816,0.00617705,0.03669574,True,0.5381908,0.99443103,2170
Liu2024_SourceMAT,49,5,0.25,0.25,"[6, 2]",0.75,False,0,0.00538516,0.00050001,0.00460832,True,0.52575319,0.99735699,2170
Liu2024_SourceMAT,50,1,0.5,0.5,"[6, 2]",0.75,False,0,0.00867373,0.00100018,0.00742251,True,0.53129521,0.99641159,2170
Liu2024_SourceMAT,50,2,0.375,0.375,"[3, 5]",0.625,False,1,0.07890169,0.01185203,0.06751978,True,0.56523685,0.9792428,2170
Liu2024_SourceMAT,50,3,0.5,0.5,"[4, 4]",0.5,False,0,0.04724753,0.00623387,0.04043186,True,0.52712087,0.99685124,2170
Liu2024_SourceMAT,50,4,0.5,0.5,"[8, 0]",1.0,True,0,0.01333978,0.00149869,0.01141546,True,0.52861607,0.9969836,2170
Liu2024_SourceMAT,50,5,0.5,0.5,"[6, 2]",0.75,False,0,0.00924738,0.00100018,0.00791341,True,0.5359472,0.99353643,2170
