subject_id,rep,band,accuracy,balanced_accuracy
6,5,8-30,0.3125,0.30952380952380953
6,5,12-20,0.375,0.36507936507936506
6,5,15-20,0.375,0.3968253968253968
6,5,15-30,0.25,0.2698412698412698
6,5,20-30,0.4375,0.45238095238095233
6,5,8-15,0.3125,0.32539682539682535
6,6,8-12,0.5,0.5238095238095238
6,6,8-20,0.5625,0.5793650793650793
6,6,8-30,0.5,0.5238095238095238
6,6,12-20,0.4375,0.45238095238095233
6,6,15-20,0.4375,0.4365079365079365
6,6,15-30,0.25,0.2698412698412698
6,6,20-30,0.3125,0.30952380952380953
6,6,8-15,0.5625,0.5793650793650793
6,7,8-12,0.5625,0.5952380952380952
6,7,8-20,0.4375,0.45238095238095233
6,7,8-30,0.5,0.5079365079365079
6,7,12-20,0.375,0.38095238095238093
6,7,15-20,0.4375,0.45238095238095233
6,7,15-30,0.3125,0.30952380952380953
6,7,20-30,0.375,0.36507936507936506
6,7,8-15,0.625,0.6507936507936507
6,8,8-12,0.4375,0.4833333333333333
6,8,8-20,0.5,0.5666666666666667
6,8,8-30,0.5625,0.6166666666666667
6,8,12-20,0.625,0.7
6,8,15-20,0.4375,0.4833333333333333
6,8,15-30,0.375,0.4666666666666667
6,8,20-30,0.3125,0.4166666666666667
6,8,8-15,0.5,0.5666666666666667
6,9,8-12,0.6875,0.6746031746031746
6,9,8-20,0.75,0.7619047619047619
6,9,8-30,0.5625,0.5952380952380952
6,9,12-20,0.375,0.38095238095238093
6,9,15-20,0.5625,0.5793650793650793
6,9,15-30,0.5625,0.5793650793650793
6,9,20-30,0.4375,0.42063492063492064
6,9,8-15,0.6875,0.6904761904761905
7,0,8-12,0.75,0.746031746031746
7,0,8-20,0.75,0.7619047619047619
7,0,8-30,0.75,0.746031746031746
7,0,12-20,0.625,0.6190476190476191
7,0,15-20,0.6875,0.6904761904761905
7,0,15-30,0.75,0.7301587301587301
7,0,20-30,0.6875,0.6746031746031746
7,0,8-15,0.6875,0.6904761904761905
7,1,8-12,0.6875,0.6875
7,1,8-20,0.625,0.625
7,1,8-30,0.75,0.75
7,1,12-20,0.6875,0.6875
7,1,15-20,0.6875,0.6875
7,1,15-30,0.75,0.75
7,1,20-30,0.8125,0.8125
7,1,8-15,0.625,0.625
7,2,8-12,0.6875,0.7063492063492063
7,2,8-20,0.5625,0.5952380952380952
7,2,8-30,0.5625,0.5952380952380952
7,2,12-20,0.5,0.5396825396825397
7,2,15-20,0.5625,0.6111111111111112
7,2,15-30,0.4375,0.46825396825396826
7,2,20-30,0.5625,0.5952380952380952
7,2,8-15,0.625,0.6507936507936507
7,3,8-12,0.75,0.7666666666666666
7,3,8-20,0.75,0.7666666666666666
7,3,8-30,0.75,0.7333333333333334
7,3,12-20,0.5625,0.6166666666666667
7,3,15-20,0.5,0.5333333333333333
7,3,15-30,0.6875,0.65
7,3,20-30,0.75,0.7
7,3,8-15,0.75,0.7666666666666666
7,4,8-12,0.8125,0.8125
7,4,8-20,0.75,0.75
7,4,8-30,0.75,0.75
7,4,12-20,0.6875,0.6875
7,4,15-20,0.6875,0.6875
7,4,15-30,0.6875,0.6875
7,4,20-30,0.8125,0.8125
7,4,8-15,0.75,0.75
7,5,8-12,0.625,0.6507936507936507
7,5,8-20,0.6875,0.7063492063492063
7,5,8-30,0.75,0.746031746031746
7,5,12-20,0.6875,0.7063492063492063
7,5,15-20,0.5625,0.5634920634920635
7,5,15-30,0.6875,0.6746031746031746
7,5,20-30,0.75,0.7619047619047619
7,5,8-15,0.6875,0.6904761904761905
7,6,8-12,0.75,0.75
7,6,8-20,0.75,0.75
7,6,8-30,0.75,0.75
7,6,12-20,0.625,0.625
7,6,15-20,0.5625,0.5625
7,6,15-30,0.6875,0.6875
7,6,20-30,0.75,0.75
7,6,8-15,0.6875,0.6875
7,7,8-12,0.8125,0.8333333333333333
7,7,8-20,0.75,0.7619047619047619
7,7,8-30,0.75,0.7619047619047619
7,7,12-20,0.625,0.6507936507936507
7,7,15-20,0.5625,0.6111111111111112
7,7,15-30,0.8125,0.8333333333333333
7,7,20-30,0.8125,0.8174603174603174
7,7,8-15,0.8125,0.8174603174603174
7,8,8-12,0.8125,0.8015873015873016
7,8,8-20,0.75,0.7619047619047619
7,8,8-30,0.5625,0.5476190476190476
7,8,12-20,0.5625,0.5634920634920635
7,8,15-20,0.5,0.4920634920634921
7,8,15-30,0.5625,0.5317460317460317
7,8,20-30,0.5625,0.5317460317460317
7,8,8-15,0.75,0.7619047619047619
7,9,8-12,0.8125,0.8166666666666667
7,9,8-20,0.6875,0.75
7,9,8-30,0.6875,0.75
7,9,12-20,0.5625,0.6166666666666667
7,9,15-20,0.625,0.7
7,9,15-30,0.5625,0.65
7,9,20-30,0.8125,0.85
7,9,8-15,0.6875,0.75
8,0,8-12,0.375,0.375
8,0,8-20,0.4375,0.4375
8,0,8-30,0.5,0.5
8,0,12-20,0.625,0.625
8,0,15-20,0.3125,0.3125
8,0,15-30,0.4375,0.4375
8,0,20-30,0.5625,0.5625
8,0,8-15,0.3125,0.3125
8,1,8-12,0.5,0.4920634920634921
8,1,8-20,0.375,0.4126984126984127
8,1,8-30,0.375,0.42857142857142855
8,1,12-20,0.5,0.5238095238095238
8,1,15-20,0.3125,0.32539682539682535
8,1,15-30,0.1875,0.1984126984126984
8,1,20-30,0.3125,0.3412698412698413
8,1,8-15,0.5,0.5396825396825397
8,2,8-12,0.375,0.43333333333333335
8,2,8-20,0.625,0.6333333333333333
8,2,8-30,0.5,0.5333333333333333
8,2,12-20,0.375,0.3666666666666667
8,2,15-20,0.1875,0.21666666666666667
8,2,15-30,0.375,0.43333333333333335
8,2,20-30,0.4375,0.5166666666666667
8,2,8-15,0.3125,0.35
8,3,8-12,0.375,0.4666666666666667
8,3,8-20,0.375,0.43333333333333335
8,3,8-30,0.4375,0.4833333333333333
8,3,12-20,0.375,0.43333333333333335
8,3,15-20,0.5,0.5333333333333333
8,3,15-30,0.5,0.5666666666666667
8,3,20-30,0.3125,0.35
8,3,8-15,0.375,0.4666666666666667
8,4,8-12,0.5625,0.5625
8,4,8-20,0.375,0.375
8,4,8-30,0.375,0.375
8,4,12-20,0.4375,0.4375
8,4,15-20,0.375,0.375
8,4,15-30,0.625,0.625
8,4,20-30,0.5,0.5
8,4,8-15,0.375,0.375
8,5,8-12,0.375,0.375
8,5,8-20,0.375,0.375
8,5,8-30,0.5,0.5
8,5,12-20,0.5,0.5
8,5,15-20,0.4375,0.4375
8,5,15-30,0.4375,0.4375
8,5,20-30,0.5625,0.5625
8,5,8-15,0.3125,0.3125
8,6,8-12,0.4375,0.4841269841269841
8,6,8-20,0.4375,0.46825396825396826
8,6,8-30,0.4375,0.46825396825396826
8,6,12-20,0.4375,0.4365079365079365
8,6,15-20,0.375,0.38095238095238093
8,6,15-30,0.375,0.38095238095238093
8,6,20-30,0.375,0.38095238095238093
8,6,8-15,0.3125,0.3412698412698413
8,7,8-12,0.3125,0.35
8,7,8-20,0.5625,0.65
8,7,8-30,0.375,0.43333333333333335
8,7,12-20,0.5625,0.65
8,7,15-20,0.3125,0.35
8,7,15-30,0.375,0.43333333333333335
8,7,20-30,0.4375,0.45
8,7,8-15,0.3125,0.3833333333333333
8,8,8-12,0.375,0.375
8,8,8-20,0.5,0.5
8,8,8-30,0.5,0.5
8,8,12-20,0.5,0.5
8,8,15-20,0.3125,0.3125
8,8,15-30,0.4375,0.4375
8,8,20-30,0.4375,0.4375
8,8,8-15,0.375,0.375
8,9,8-12,0.625,0.625
8,9,8-20,0.5,0.5
8,9,8-30,0.5,0.5
8,9,12-20,0.5625,0.5625
8,9,15-20,0.5,0.5
8,9,15-30,0.5625,0.5625
8,9,20-30,0.6875,0.6875
8,9,8-15,0.4375,0.4375
9,0,8-12,0.4375,0.45238095238095233
9,0,8-20,0.25,0.23809523809523808
9,0,8-30,0.4375,0.45238095238095233
9,0,12-20,0.375,0.3968253968253968
9,0,15-20,0.375,0.3968253968253968
9,0,15-30,0.5625,0.5634920634920635
9,0,20-30,0.5,0.5079365079365079
9,0,8-15,0.3125,0.32539682539682535
9,1,8-12,0.4375,0.4833333333333333
9,1,8-20,0.3125,0.3833333333333333
9,1,8-30,0.375,0.4666666666666667
9,1,12-20,0.375,0.4666666666666667
9,1,15-20,0.375,0.4666666666666667
9,1,15-30,0.375,0.5
9,1,20-30,0.375,0.4666666666666667
9,1,8-15,0.3125,0.3833333333333333
9,2,8-12,0.5,0.6
9,2,8-20,0.375,0.4666666666666667
9,2,8-30,0.375,0.43333333333333335
9,2,12-20,0.4375,0.55
9,2,15-20,0.375,0.4
9,2,15-30,0.375,0.43333333333333335
9,2,20-30,0.3125,0.3833333333333333
9,2,8-15,0.3125,0.4166666666666667
9,3,8-12,0.375,0.4666666666666667
9,3,8-20,0.4375,0.4833333333333333
9,3,8-30,0.3125,0.35
9,3,12-20,0.3125,0.4166666666666667
9,3,15-20,0.4375,0.5166666666666667
9,3,15-30,0.4375,0.4833333333333333
9,3,20-30,0.3125,0.35
9,3,8-15,0.3125,0.3833333333333333
9,4,8-12,0.4375,0.5166666666666667
9,4,8-20,0.5625,0.65
9,4,8-30,0.4375,0.4833333333333333
9,4,12-20,0.4375,0.55
9,4,15-20,0.4375,0.55
9,4,15-30,0.375,0.4666666666666667
9,4,20-30,0.625,0.6333333333333333
9,4,8-15,0.4375,0.55
9,5,8-12,0.5,0.5666666666666667
9,5,8-20,0.3125,0.3833333333333333
9,5,8-30,0.375,0.4666666666666667
9,5,12-20,0.375,0.4
9,5,15-20,0.5,0.5666666666666667
