subject_id,rep,oracle_maxband_accuracy,oracle_band,nested_accuracy,nested_band
38,0,0.5625,8-30,0.5625,20-30
38,1,0.75,8-30,0.75,8-30
38,2,0.75,15-30,0.625,20-30
38,3,0.625,20-30,0.5,8-30
38,4,0.6875,20-30,0.5625,8-30
38,5,0.5625,8-20,0.5,8-30
38,6,0.625,8-30,0.5,15-30
38,7,0.75,20-30,0.75,20-30
38,8,0.6875,8-30,0.5625,8-15
38,9,0.5625,15-20,0.5625,20-30
39,0,0.5625,8-12,0.5,8-20
39,1,0.6875,8-20,0.4375,15-30
39,2,0.5625,20-30,0.3125,8-30
39,3,0.5625,8-30,0.375,15-30
39,4,0.5,8-20,0.375,8-12
39,5,0.5625,8-30,0.5625,20-30
39,6,0.4375,20-30,0.375,15-30
39,7,0.75,8-20,0.625,8-30
39,8,0.625,12-20,0.625,12-20
39,9,0.5,15-30,0.3125,20-30
40,0,0.875,20-30,0.6875,15-30
40,1,0.875,20-30,0.8125,15-20
40,2,0.6875,8-20,0.6875,8-20
40,3,0.8125,20-30,0.75,15-30
40,4,0.75,15-30,0.375,8-12
40,5,0.625,8-30,0.625,8-30
40,6,0.9375,20-30,0.75,15-30
40,7,0.75,20-30,0.6875,8-30
40,8,0.875,12-20,0.5625,8-12
40,9,0.8125,8-30,0.75,15-30
41,0,0.625,20-30,0.3125,12-20
41,1,0.625,20-30,0.375,12-20
41,2,0.75,20-30,0.75,20-30
41,3,0.4375,20-30,0.4375,20-30
41,4,0.625,20-30,0.3125,8-15
41,5,0.5625,20-30,0.375,15-30
41,6,0.625,20-30,0.625,20-30
41,7,0.5625,20-30,0.4375,8-30
41,8,0.625,15-30,0.3125,15-20
41,9,0.375,8-30,0.3125,15-30
42,0,0.5,12-20,0.3125,8-20
42,1,0.625,8-30,0.4375,20-30
42,2,0.5,15-20,0.5,20-30
42,3,0.8125,8-30,0.625,20-30
42,4,0.5,20-30,0.3125,8-20
42,5,0.6875,15-30,0.375,8-20
42,6,0.625,12-20,0.4375,20-30
42,7,0.625,8-15,0.4375,12-20
42,8,0.625,12-20,0.5,8-30
42,9,0.75,15-30,0.5,8-30
43,0,0.5625,8-30,0.25,20-30
43,1,0.8125,8-30,0.375,15-20
43,2,0.625,8-12,0.5,8-30
43,3,0.625,8-15,0.5,8-12
43,4,0.625,8-12,0.3125,15-30
43,5,0.625,15-20,0.4375,8-12
43,6,0.5,15-30,0.375,8-30
43,7,0.5625,8-12,0.25,15-20
43,8,0.4375,8-30,0.25,15-20
43,9,0.5,8-20,0.3125,8-12
44,0,0.875,8-30,0.75,15-30
44,1,0.8125,20-30,0.625,8-15
44,2,0.5625,8-12,0.5,8-30
44,3,0.5,8-12,0.375,20-30
44,4,0.6875,8-30,0.625,20-30
44,5,0.875,8-30,0.75,20-30
44,6,0.75,15-30,0.5625,20-30
44,7,0.5,8-12,0.375,15-30
44,8,0.8125,20-30,0.5,8-20
44,9,0.8125,8-20,0.5,15-30
45,0,0.75,8-20,0.625,20-30
45,1,0.8125,8-20,0.375,15-30
45,2,0.875,15-30,0.625,8-15
45,3,0.8125,8-20,0.625,8-12
45,4,0.875,8-20,0.625,8-15
45,5,0.875,8-12,0.625,15-30
45,6,0.8125,20-30,0.6875,8-15
45,7,0.75,20-30,0.625,8-12
45,8,0.8125,8-20,0.4375,15-20
45,9,0.8125,8-20,0.75,8-15
46,0,0.4375,8-12,0.3125,15-20
46,1,0.5,20-30,0.375,15-20
46,2,0.8125,12-20,0.3125,15-30
46,3,0.6875,12-20,0.6875,12-20
46,4,0.8125,15-20,0.5,20-30
46,5,0.75,15-30,0.5,12-20
46,6,0.625,8-12,0.5,8-20
46,7,0.5,8-12,0.5,8-12
46,8,0.5625,8-12,0.375,20-30
46,9,0.5625,15-20,0.5,8-12
47,0,0.5625,15-20,0.375,8-30
47,1,0.625,20-30,0.625,20-30
47,2,0.5,8-12,0.5,8-15
47,3,0.5625,8-20,0.5,15-30
47,4,0.5625,8-20,0.1875,15-20
47,5,0.6875,15-30,0.4375,8-30
47,6,0.75,20-30,0.5,8-20
47,7,0.5625,8-12,0.375,15-20
47,8,0.75,8-20,0.6875,8-15
47,9,0.5625,15-20,0.375,8-20
48,0,0.6875,20-30,0.375,8-30
48,1,0.6875,20-30,0.4375,8-20
48,2,0.5625,8-12,0.5,15-30
48,3,0.6875,20-30,0.375,12-20
48,4,0.6875,12-20,0.4375,20-30
48,5,0.5625,15-20,0.5625,20-30
48,6,0.75,8-20,0.6875,8-15
48,7,0.5625,20-30,0.5625,20-30
48,8,0.5625,8-12,0.3125,8-20
48,9,0.6875,8-20,0.375,8-30
49,0,0.6875,8-20,0.6875,8-20
49,1,0.6875,8-20,0.375,8-12
