subject_id,fold_id,model_name,n_train,n_test,train_class_counts,test_class_counts,feature_band,n_csp_components,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram,roc_auc,n_filter_bands,n_csp_components_per_band
18,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[0, 4], [1, 3]]","[1, 7]",0.25,,
18,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.125,0.125,"[[1, 3], [4, 0]]","[5, 3]",0.0,9.0,4.0
18,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.875,,
18,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,9.0,4.0
18,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.4375,,
18,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.5625,9.0,4.0
18,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.125,,
18,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,9.0,4.0
18,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.5625,,
18,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.625,9.0,4.0
19,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.5,,
19,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.1875,9.0,4.0
19,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.375,,
19,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.75,9.0,4.0
19,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.1875,,
19,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.5625,9.0,4.0
19,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[0, 4], [2, 2]]","[2, 6]",0.0,,
19,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.5,9.0,4.0
19,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.5625,,
19,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.1875,9.0,4.0
20,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.75,,
20,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]",0.9375,9.0,4.0
20,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",0.625,,
20,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.3125,9.0,4.0
20,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.75,,
20,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.4375,9.0,4.0
20,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.8125,,
20,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]",0.875,9.0,4.0
20,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]",0.6875,,
20,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]",0.5625,9.0,4.0
21,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.3125,,
21,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,9.0,4.0
21,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]",0.875,,
21,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",0.875,9.0,4.0
21,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.125,0.125,"[[0, 4], [3, 1]]","[3, 5]",0.1875,,
21,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",0.9375,9.0,4.0
21,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.25,,
21,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.375,9.0,4.0
21,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.25,,
21,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.5625,9.0,4.0
22,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.875,,
22,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.625,9.0,4.0
22,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.9375,,
22,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",1.0,9.0,4.0
22,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]",0.9375,,
22,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.625,9.0,4.0
22,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",0.75,,
22,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]",0.75,9.0,4.0
22,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",1.0,,
22,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.625,9.0,4.0
23,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,1.0,1.0,"[[4, 0], [0, 4]]","[4, 4]",1.0,,
23,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,9.0,4.0
23,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",0.875,,
23,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]",0.8125,9.0,4.0
23,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,1.0,1.0,"[[4, 0], [0, 4]]","[4, 4]",1.0,,
23,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.25,9.0,4.0
23,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.9375,,
23,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",0.5,9.0,4.0
23,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",0.75,,
23,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.8125,9.0,4.0
24,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,,
24,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[0, 4], [2, 2]]","[2, 6]",0.25,9.0,4.0
24,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.625,,
24,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.625,9.0,4.0
24,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.3125,,
24,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.5,9.0,4.0
24,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.625,,
24,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,9.0,4.0
24,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.8125,,
24,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,9.0,4.0
25,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5625,,
25,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.625,9.0,4.0
25,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.4375,,
25,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.375,9.0,4.0
25,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.3125,,
25,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,9.0,4.0
25,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.75,,
25,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,9.0,4.0
25,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.3125,,
25,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[0, 4], [2, 2]]","[2, 6]",0.0,9.0,4.0
26,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]",0.9375,,
26,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",1.0,9.0,4.0
26,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.375,,
26,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,9.0,4.0
26,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.5625,,
26,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.625,9.0,4.0
26,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[1, 3], [0, 4]]","[1, 7]",0.5625,,
26,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.5,9.0,4.0
26,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[0, 4], [2, 2]]","[2, 6]",0.375,,
26,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.4375,9.0,4.0
27,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.375,,
27,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.4375,9.0,4.0
27,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.4375,,
27,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.3125,9.0,4.0
27,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.125,,
27,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.625,9.0,4.0
27,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.3125,,
27,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.5625,9.0,4.0
27,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.4375,,
27,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.4375,9.0,4.0
28,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[1, 3], [0, 4]]","[1, 7]",1.0,,
28,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",0.9375,9.0,4.0
28,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.8125,,
28,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.8125,9.0,4.0
28,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.5,,
28,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.9375,9.0,4.0
28,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",0.75,,
28,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.6875,9.0,4.0
28,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]",0.9375,,
28,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.8125,9.0,4.0
29,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.4375,,
29,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.625,9.0,4.0
29,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.0625,,
29,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.4375,9.0,4.0
29,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.8125,,
29,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.4375,9.0,4.0
29,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[4, 0], [4, 0]]","[8, 0]",0.75,,
29,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.8125,9.0,4.0
29,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.5,,
29,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,9.0,4.0
30,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.0625,,
30,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.875,0.875,"[[3, 1], [0, 4]]","[3, 5]",0.9375,9.0,4.0
30,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",0.9375,,
30,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.5625,9.0,4.0
30,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.4375,,
30,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[1, 3], [0, 4]]","[1, 7]",0.5625,9.0,4.0
30,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",0.9375,,
30,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",0.875,9.0,4.0
30,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",0.875,,
30,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.75,9.0,4.0
31,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,,
31,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.4375,9.0,4.0
31,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5625,,
31,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.25,9.0,4.0
31,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[2, 2], [3, 1]]","[5, 3]",0.375,,
31,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[0, 4], [1, 3]]","[1, 7]",0.3125,9.0,4.0
31,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5625,,
31,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.375,9.0,4.0
31,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.125,,
31,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.5,9.0,4.0
32,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[2, 2], [4, 0]]","[6, 2]",0.0,,
32,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[2, 2], [0, 4]]","[2, 6]",0.5625,9.0,4.0
32,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.75,0.75,"[[4, 0], [2, 2]]","[6, 2]",0.625,,
32,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.125,9.0,4.0
32,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.4375,,
32,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.75,9.0,4.0
32,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[1, 3], [0, 4]]","[1, 7]",0.625,,
32,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,9.0,4.0
32,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",0.8125,,
32,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.4375,9.0,4.0
33,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[1, 3], [1, 3]]","[2, 6]",0.375,,
33,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.75,0.75,"[[3, 1], [1, 3]]","[4, 4]",0.75,9.0,4.0
33,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.375,,
33,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.375,9.0,4.0
33,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[0, 4], [0, 4]]","[0, 8]",0.25,,
33,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[4, 0], [3, 1]]","[7, 1]",0.4375,9.0,4.0
33,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.4375,,
33,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.4375,9.0,4.0
33,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[0, 4], [2, 2]]","[2, 6]",0.375,,
33,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.1875,9.0,4.0
34,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.25,0.25,"[[1, 3], [3, 1]]","[4, 4]",0.3125,,
34,1,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.875,0.875,"[[4, 0], [1, 3]]","[5, 3]",0.8125,9.0,4.0
34,2,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[2, 2], [2, 2]]","[4, 4]",0.5,,
34,2,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.125,0.125,"[[1, 3], [4, 0]]","[5, 3]",0.1875,9.0,4.0
34,3,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[3, 1], [2, 2]]","[5, 3]",0.5625,,
34,3,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.625,9.0,4.0
34,4,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.5,,
34,4,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.375,0.375,"[[3, 1], [4, 0]]","[7, 1]",0.1875,9.0,4.0
34,5,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.5,0.5,"[[3, 1], [3, 1]]","[6, 2]",0.5,,
34,5,FBCSP_LDA,32,8,"[16, 16]","[4, 4]",,,0.625,0.625,"[[2, 2], [1, 3]]","[3, 5]",0.625,9.0,4.0
35,1,CSP_LDA,32,8,"[16, 16]","[4, 4]","[8.0, 30.0]",4.0,0.375,0.375,"[[1, 3], [2, 2]]","[3, 5]",0.1875,,
