subject_id,fold_id,method,accuracy,balanced_accuracy,outer_test_used_for_center,outer_test_used_for_fit,outer_test_used_for_selection
sub-30,3,target_only,0.625,0.625,False,False,False
sub-30,3,pooled_unaligned,0.625,0.625,False,False,False
sub-30,3,riemannian_recentered,0.5,0.5,False,False,False
sub-30,4,target_only,0.5,0.5,False,False,False
sub-30,4,pooled_unaligned,0.375,0.375,False,False,False
sub-30,4,riemannian_recentered,0.625,0.625,False,False,False
sub-31,0,target_only,0.25,0.25,False,False,False
sub-31,0,pooled_unaligned,0.5,0.5,False,False,False
sub-31,0,riemannian_recentered,0.625,0.625,False,False,False
sub-31,1,target_only,0.375,0.375,False,False,False
sub-31,1,pooled_unaligned,0.5,0.5,False,False,False
sub-31,1,riemannian_recentered,0.375,0.375,False,False,False
sub-31,2,target_only,0.0,0.0,False,False,False
sub-31,2,pooled_unaligned,0.5,0.5,False,False,False
sub-31,2,riemannian_recentered,0.75,0.75,False,False,False
sub-31,3,target_only,0.125,0.125,False,False,False
sub-31,3,pooled_unaligned,0.75,0.75,False,False,False
sub-31,3,riemannian_recentered,0.5,0.5,False,False,False
sub-31,4,target_only,0.25,0.25,False,False,False
sub-31,4,pooled_unaligned,0.5,0.5,False,False,False
sub-31,4,riemannian_recentered,0.375,0.375,False,False,False
sub-32,0,target_only,0.375,0.375,False,False,False
sub-32,0,pooled_unaligned,0.375,0.375,False,False,False
sub-32,0,riemannian_recentered,0.5,0.5,False,False,False
sub-32,1,target_only,0.625,0.625,False,False,False
sub-32,1,pooled_unaligned,0.5,0.5,False,False,False
sub-32,1,riemannian_recentered,0.625,0.625,False,False,False
sub-32,2,target_only,0.5,0.5,False,False,False
sub-32,2,pooled_unaligned,0.625,0.625,False,False,False
sub-32,2,riemannian_recentered,0.375,0.375,False,False,False
sub-32,3,target_only,0.375,0.375,False,False,False
sub-32,3,pooled_unaligned,0.375,0.375,False,False,False
sub-32,3,riemannian_recentered,0.5,0.5,False,False,False
sub-32,4,target_only,0.375,0.375,False,False,False
sub-32,4,pooled_unaligned,0.625,0.625,False,False,False
sub-32,4,riemannian_recentered,0.25,0.25,False,False,False
sub-33,0,target_only,0.125,0.125,False,False,False
sub-33,0,pooled_unaligned,0.375,0.375,False,False,False
sub-33,0,riemannian_recentered,0.5,0.5,False,False,False
sub-33,1,target_only,0.875,0.875,False,False,False
sub-33,1,pooled_unaligned,0.625,0.625,False,False,False
