target,branch,strategy,K,rep,balanced_accuracy
7,fusion,transfer_plus_cal,4,9,0.4722222222222222
7,fusion,within_only,8,0,0.65625
7,fusion,transfer_only,8,0,0.59375
7,fusion,transfer_plus_cal,8,0,0.59375
7,fusion,within_only,8,1,0.5
7,fusion,transfer_only,8,1,0.5
7,fusion,transfer_plus_cal,8,1,0.5
7,fusion,within_only,8,2,0.6875
7,fusion,transfer_only,8,2,0.5625
7,fusion,transfer_plus_cal,8,2,0.53125
7,fusion,within_only,8,3,0.65625
7,fusion,transfer_only,8,3,0.5625
7,fusion,transfer_plus_cal,8,3,0.5625
7,fusion,within_only,8,4,0.5625
7,fusion,transfer_only,8,4,0.53125
7,fusion,transfer_plus_cal,8,4,0.46875
7,fusion,within_only,8,5,0.75
7,fusion,transfer_only,8,5,0.53125
7,fusion,transfer_plus_cal,8,5,0.5
7,fusion,within_only,8,6,0.5625
7,fusion,transfer_only,8,6,0.5625
7,fusion,transfer_plus_cal,8,6,0.5
7,fusion,within_only,8,7,0.5625
7,fusion,transfer_only,8,7,0.5625
7,fusion,transfer_plus_cal,8,7,0.53125
7,fusion,within_only,8,8,0.71875
7,fusion,transfer_only,8,8,0.59375
7,fusion,transfer_plus_cal,8,8,0.5625
7,fusion,within_only,8,9,0.78125
7,fusion,transfer_only,8,9,0.625
7,fusion,transfer_plus_cal,8,9,0.65625
7,fusion,within_only,12,0,0.6785714285714286
7,fusion,transfer_only,12,0,0.5
7,fusion,transfer_plus_cal,12,0,0.4285714285714286
7,fusion,within_only,12,1,0.7142857142857143
7,fusion,transfer_only,12,1,0.6071428571428572
7,fusion,transfer_plus_cal,12,1,0.5357142857142857
7,fusion,within_only,12,2,0.7142857142857142
7,fusion,transfer_only,12,2,0.5357142857142857
7,fusion,transfer_plus_cal,12,2,0.5357142857142857
7,fusion,within_only,12,3,0.7857142857142857
7,fusion,transfer_only,12,3,0.42857142857142855
7,fusion,transfer_plus_cal,12,3,0.4642857142857143
7,fusion,within_only,12,4,0.6785714285714286
7,fusion,transfer_only,12,4,0.5
7,fusion,transfer_plus_cal,12,4,0.42857142857142855
7,fusion,within_only,12,5,0.7142857142857143
7,fusion,transfer_only,12,5,0.5357142857142857
7,fusion,transfer_plus_cal,12,5,0.4642857142857143
7,fusion,within_only,12,6,0.6071428571428571
7,fusion,transfer_only,12,6,0.6071428571428572
7,fusion,transfer_plus_cal,12,6,0.6071428571428572
7,fusion,within_only,12,7,0.6785714285714286
7,fusion,transfer_only,12,7,0.5714285714285714
7,fusion,transfer_plus_cal,12,7,0.5714285714285714
7,fusion,within_only,12,8,0.75
7,fusion,transfer_only,12,8,0.5357142857142857
7,fusion,transfer_plus_cal,12,8,0.5714285714285714
7,fusion,within_only,12,9,0.75
7,fusion,transfer_only,12,9,0.5714285714285714
7,fusion,transfer_plus_cal,12,9,0.4642857142857143
7,fusion,within_only,16,0,0.8333333333333333
7,fusion,transfer_only,16,0,0.41666666666666663
7,fusion,transfer_plus_cal,16,0,0.45833333333333337
7,fusion,within_only,16,1,0.7083333333333333
7,fusion,transfer_only,16,1,0.4166666666666667
7,fusion,transfer_plus_cal,16,1,0.33333333333333337
7,fusion,within_only,16,2,0.75
7,fusion,transfer_only,16,2,0.5416666666666666
7,fusion,transfer_plus_cal,16,2,0.5833333333333333
7,fusion,within_only,16,3,0.75
7,fusion,transfer_only,16,3,0.45833333333333337
7,fusion,transfer_plus_cal,16,3,0.5
7,fusion,within_only,16,4,0.75
7,fusion,transfer_only,16,4,0.6666666666666666
7,fusion,transfer_plus_cal,16,4,0.7083333333333333
7,fusion,within_only,16,5,0.75
7,fusion,transfer_only,16,5,0.45833333333333337
7,fusion,transfer_plus_cal,16,5,0.5
7,fusion,within_only,16,6,0.8333333333333333
7,fusion,transfer_only,16,6,0.45833333333333337
7,fusion,transfer_plus_cal,16,6,0.41666666666666663
7,fusion,within_only,16,7,0.7083333333333333
7,fusion,transfer_only,16,7,0.5416666666666667
7,fusion,transfer_plus_cal,16,7,0.5416666666666667
7,fusion,within_only,16,8,0.6666666666666666
7,fusion,transfer_only,16,8,0.5833333333333334
7,fusion,transfer_plus_cal,16,8,0.5
7,fusion,within_only,16,9,0.75
7,fusion,transfer_only,16,9,0.45833333333333337
7,fusion,transfer_plus_cal,16,9,0.5
7,fusion,within_only,24,0,0.75
7,fusion,transfer_only,24,0,0.625
7,fusion,transfer_plus_cal,24,0,0.625
7,fusion,within_only,24,1,0.9375
7,fusion,transfer_only,24,1,0.5
7,fusion,transfer_plus_cal,24,1,0.5
7,fusion,within_only,24,2,0.875
7,fusion,transfer_only,24,2,0.5
7,fusion,transfer_plus_cal,24,2,0.5625
7,fusion,within_only,24,3,0.75
7,fusion,transfer_only,24,3,0.5
7,fusion,transfer_plus_cal,24,3,0.4375
7,fusion,within_only,24,4,0.75
7,fusion,transfer_only,24,4,0.5625
7,fusion,transfer_plus_cal,24,4,0.5625
7,fusion,within_only,24,5,0.8125
7,fusion,transfer_only,24,5,0.6875
7,fusion,transfer_plus_cal,24,5,0.6875
7,fusion,within_only,24,6,0.75
7,fusion,transfer_only,24,6,0.6875
7,fusion,transfer_plus_cal,24,6,0.75
7,fusion,within_only,24,7,0.8125
7,fusion,transfer_only,24,7,0.4375
7,fusion,transfer_plus_cal,24,7,0.4375
7,fusion,within_only,24,8,0.625
7,fusion,transfer_only,24,8,0.4375
7,fusion,transfer_plus_cal,24,8,0.375
7,fusion,within_only,24,9,0.6875
7,fusion,transfer_only,24,9,0.4375
7,fusion,transfer_plus_cal,24,9,0.4375
