dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
Liu2024_SourceMAT,1,3,17,CP3,0.07669269,-0.07544644,0.09530336,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,18,CP4,0.11283383,0.05715752,0.1320979,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,19,TP7,0.09570238,-0.00709523,0.10311867,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,20,TP8,0.10659117,-0.01850419,0.1145531,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,21,Pz,0.13570416,0.04220464,0.14762264,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,22,P3,0.07013756,-0.04792554,0.07380255,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,23,P4,0.0794457,0.01059213,0.09183553,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,24,P7,0.11196122,0.02402067,0.12430539,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,25,P8,0.08142171,0.00056238,0.10289782,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,26,Oz,0.08154799,-0.02411265,0.09166206,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,27,O1,0.04760108,0.03259902,0.0530527,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,3,28,O2,0.11465389,0.00762901,0.12602256,0.25,0.25,"[2, 6]",0.75,False,0.03351227,0.00468795,0.02867798,True
Liu2024_SourceMAT,1,4,0,Fp1,0.1141599,0.1141599,0.12328807,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,1,Fp2,0.0887094,-0.06898043,0.09616228,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,2,Fz,0.07110918,0.06774876,0.09370729,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,3,F3,0.0395634,-0.02554676,0.04715263,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,4,F4,0.0409546,0.03382163,0.05465304,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,5,F7,0.08975233,0.03680155,0.09580215,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,6,F8,0.10051139,0.02551575,0.10973641,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,7,FCz,0.11521758,0.07008524,0.12224222,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,8,FC3,0.11448711,0.01855557,0.11615116,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,9,FC4,0.16261941,-0.00760457,0.16366121,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
Liu2024_SourceMAT,1,4,10,FT7,0.12803183,0.04889141,0.13579158,0.375,0.375,"[5, 3]",0.625,False,0.00215399,0.0002,0.00184326,True
