subject,fold,window_start_s,sjepa_acc,sjepa_bacc,sjepa_collapse,riemann_acc,riemann_bacc,riemann_collapse,fusion_acc,fusion_bacc,fusion_collapse
29,6,1.0,0.6875,0.6875,False,0.3125,0.3125,False,0.3125,0.3125,False
29,7,2.0,0.625,0.625,False,0.375,0.375,False,0.375,0.375,False
29,8,2.0,0.5625,0.5625,False,0.6875,0.6875,False,0.6875,0.6875,False
29,9,0.0,0.6875,0.6875,False,0.375,0.375,False,0.375,0.375,False
30,0,2.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
30,1,2.0,0.375,0.375,False,0.25,0.25,False,0.1875,0.1875,False
30,2,1.0,0.6875,0.6875,False,0.3125,0.3125,False,0.3125,0.3125,False
30,3,1.0,0.625,0.625,False,0.25,0.25,False,0.25,0.25,False
30,4,2.0,0.5625,0.5625,False,0.5,0.5,False,0.4375,0.4375,False
30,5,0.0,0.5625,0.5625,False,0.3125,0.3125,False,0.3125,0.3125,False
30,6,0.0,0.625,0.625,False,0.375,0.375,False,0.4375,0.4375,False
30,7,0.0,0.625,0.625,False,0.5625,0.5625,False,0.5625,0.5625,False
30,8,0.0,0.625,0.625,False,0.75,0.75,False,0.6875,0.6875,False
30,9,0.0,0.5,0.5,False,0.625,0.625,False,0.625,0.625,False
31,0,2.0,0.6875,0.6875,False,0.4375,0.4375,False,0.375,0.375,False
31,1,0.0,0.625,0.625,False,0.3125,0.3125,False,0.375,0.375,False
31,2,2.0,0.625,0.625,False,0.25,0.25,False,0.3125,0.3125,False
31,3,1.0,0.8125,0.8125,False,0.5625,0.5625,False,0.5625,0.5625,False
31,4,0.0,0.5625,0.5625,False,0.375,0.375,False,0.3125,0.3125,False
31,5,2.0,0.5625,0.5625,False,0.375,0.375,False,0.4375,0.4375,False
31,6,0.0,0.625,0.625,False,0.4375,0.4375,False,0.375,0.375,False
31,7,2.0,0.75,0.75,False,0.5625,0.5625,False,0.625,0.625,False
31,8,0.0,0.6875,0.6875,False,0.4375,0.4375,False,0.375,0.375,False
31,9,0.0,0.5625,0.5625,False,0.5625,0.5625,False,0.5625,0.5625,False
32,0,1.0,0.5625,0.5625,False,0.3125,0.3125,False,0.375,0.375,False
32,1,2.0,0.5625,0.5625,False,0.5,0.5,False,0.5,0.5,False
32,2,0.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
32,3,2.0,0.5,0.5,False,0.4375,0.4375,False,0.4375,0.4375,False
32,4,0.0,0.625,0.625,False,0.1875,0.1875,False,0.1875,0.1875,False
32,5,1.0,0.6875,0.6875,False,0.375,0.375,False,0.375,0.375,False
32,6,2.0,0.625,0.625,False,0.1875,0.1875,False,0.1875,0.1875,False
32,7,0.0,0.375,0.375,False,0.3125,0.3125,False,0.3125,0.3125,False
32,8,0.0,0.5,0.5,False,0.5,0.5,False,0.4375,0.4375,False
32,9,2.0,0.4375,0.4375,False,0.375,0.375,False,0.4375,0.4375,False
33,0,2.0,0.375,0.375,False,0.5,0.5,False,0.5,0.5,False
33,1,1.0,0.5,0.5,False,0.5,0.5,False,0.5,0.5,False
33,2,1.0,0.5625,0.5625,False,0.5,0.5,False,0.5625,0.5625,False
33,3,0.0,0.375,0.375,False,0.5,0.5,False,0.4375,0.4375,False
33,4,2.0,0.5625,0.5625,False,0.375,0.375,False,0.375,0.375,False
33,5,2.0,0.3125,0.3125,False,0.4375,0.4375,False,0.4375,0.4375,False
33,6,0.0,0.3125,0.3125,False,0.375,0.375,False,0.3125,0.3125,False
33,7,0.0,0.5625,0.5625,False,0.375,0.375,False,0.25,0.25,False
33,8,1.0,0.4375,0.4375,False,0.5,0.5,False,0.5625,0.5625,False
33,9,1.0,0.5,0.5,False,0.4375,0.4375,False,0.4375,0.4375,False
34,0,1.0,0.5625,0.5625,False,0.1875,0.1875,False,0.1875,0.1875,False
34,1,2.0,0.75,0.75,False,0.375,0.375,False,0.375,0.375,False
34,2,1.0,0.5625,0.5625,False,0.3125,0.3125,False,0.375,0.375,False
