repeat,swap,subject_id,branch,train_separation,heldout_ba,train_indices,test_indices
0,0,29,sjepa,3.1582231521606445,0.3,"[6, 36, 18, 4, 22, 32, 38, 26, 10, 8, 5, 37, 11, 33, 35, 9, 7, 13, 29, 21]","[0, 1, 2, 3, 12, 14, 15, 16, 17, 19, 20, 23, 24, 25, 27, 28, 30, 31, 34, 39]"
0,1,29,sjepa,3.1397159099578857,0.35,"[0, 1, 2, 3, 12, 14, 15, 16, 17, 19, 20, 23, 24, 25, 27, 28, 30, 31, 34, 39]","[6, 36, 18, 4, 22, 32, 38, 26, 10, 8, 5, 37, 11, 33, 35, 9, 7, 13, 29, 21]"
0,0,31,physiology,3.1499092665600026,0.55,"[10, 12, 20, 0, 14, 24, 4, 22, 36, 6, 37, 35, 23, 27, 1, 31, 39, 5, 3, 29]","[2, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 21, 25, 26, 28, 30, 32, 33, 34, 38]"
0,1,31,physiology,2.3631287066068736,0.7,"[2, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 21, 25, 26, 28, 30, 32, 33, 34, 38]","[10, 12, 20, 0, 14, 24, 4, 22, 36, 6, 37, 35, 23, 27, 1, 31, 39, 5, 3, 29]"
0,0,31,riemann,7.961694825456537,0.3,"[10, 12, 20, 0, 14, 24, 4, 22, 36, 6, 37, 35, 23, 27, 1, 31, 39, 5, 3, 29]","[2, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 21, 25, 26, 28, 30, 32, 33, 34, 38]"
0,1,31,riemann,8.113692603521063,0.44999999999999996,"[2, 7, 8, 9, 11, 13, 15, 16, 17, 18, 19, 21, 25, 26, 28, 30, 32, 33, 34, 38]","[10, 12, 20, 0, 14, 24, 4, 22, 36, 6, 37, 35, 23, 27, 1, 31, 39, 5, 3, 29]"
0,0,31,sjepa,3.1644675731658936,0.55,"[16, 6, 36, 32, 28, 34, 24, 12, 8, 20, 35, 21, 5, 29, 37, 23, 9, 3, 15, 25]","[0, 1, 2, 4, 7, 10, 11, 13, 14, 17, 18, 19, 22, 26, 27, 30, 31, 33, 38, 39]"
0,1,31,sjepa,3.7358663082122803,0.6499999999999999,"[0, 1, 2, 4, 7, 10, 11, 13, 14, 17, 18, 19, 22, 26, 27, 30, 31, 33, 38, 39]","[16, 6, 36, 32, 28, 34, 24, 12, 8, 20, 35, 21, 5, 29, 37, 23, 9, 3, 15, 25]"
0,0,32,physiology,1.0438044585629647,0.5,"[4, 8, 10, 38, 20, 18, 26, 28, 14, 6, 13, 17, 29, 23, 5, 33, 7, 25, 21, 1]","[0, 2, 3, 9, 11, 12, 15, 16, 19, 22, 24, 27, 30, 31, 32, 34, 35, 36, 37, 39]"
0,1,32,physiology,1.89340431803762,0.4,"[0, 2, 3, 9, 11, 12, 15, 16, 19, 22, 24, 27, 30, 31, 32, 34, 35, 36, 37, 39]","[4, 8, 10, 38, 20, 18, 26, 28, 14, 6, 13, 17, 29, 23, 5, 33, 7, 25, 21, 1]"
0,0,32,riemann,6.314189220884261,0.3,"[4, 8, 10, 38, 20, 18, 26, 28, 14, 6, 13, 17, 29, 23, 5, 33, 7, 25, 21, 1]","[0, 2, 3, 9, 11, 12, 15, 16, 19, 22, 24, 27, 30, 31, 32, 34, 35, 36, 37, 39]"
0,1,32,riemann,7.215842996963642,0.39999999999999997,"[0, 2, 3, 9, 11, 12, 15, 16, 19, 22, 24, 27, 30, 31, 32, 34, 35, 36, 37, 39]","[4, 8, 10, 38, 20, 18, 26, 28, 14, 6, 13, 17, 29, 23, 5, 33, 7, 25, 21, 1]"
0,0,32,sjepa,3.3139402866363525,0.35,"[32, 6, 8, 26, 14, 38, 24, 2, 16, 34, 39, 13, 1, 15, 11, 7, 5, 9, 21, 35]","[0, 3, 4, 10, 12, 17, 18, 19, 20, 22, 23, 25, 27, 28, 29, 30, 31, 33, 36, 37]"
0,1,32,sjepa,4.658707618713379,0.35,"[0, 3, 4, 10, 12, 17, 18, 19, 20, 22, 23, 25, 27, 28, 29, 30, 31, 33, 36, 37]","[32, 6, 8, 26, 14, 38, 24, 2, 16, 34, 39, 13, 1, 15, 11, 7, 5, 9, 21, 35]"
0,0,37,physiology,2.400476550796179,0.55,"[18, 30, 10, 8, 20, 26, 6, 14, 16, 32, 27, 3, 19, 5, 13, 29, 11, 9, 7, 33]","[0, 1, 2, 4, 12, 15, 17, 21, 22, 23, 24, 25, 28, 31, 34, 35, 36, 37, 38, 39]"
0,1,37,physiology,1.8908132356268585,0.9,"[0, 1, 2, 4, 12, 15, 17, 21, 22, 23, 24, 25, 28, 31, 34, 35, 36, 37, 38, 39]","[18, 30, 10, 8, 20, 26, 6, 14, 16, 32, 27, 3, 19, 5, 13, 29, 11, 9, 7, 33]"
0,0,37,riemann,8.500238182057858,0.8500000000000001,"[18, 30, 10, 8, 20, 26, 6, 14, 16, 32, 27, 3, 19, 5, 13, 29, 11, 9, 7, 33]","[0, 1, 2, 4, 12, 15, 17, 21, 22, 23, 24, 25, 28, 31, 34, 35, 36, 37, 38, 39]"
0,1,37,riemann,7.010831947437922,0.8,"[0, 1, 2, 4, 12, 15, 17, 21, 22, 23, 24, 25, 28, 31, 34, 35, 36, 37, 38, 39]","[18, 30, 10, 8, 20, 26, 6, 14, 16, 32, 27, 3, 19, 5, 13, 29, 11, 9, 7, 33]"
0,0,37,sjepa,3.4622883796691895,0.45,"[22, 18, 0, 38, 32, 14, 2, 24, 30, 4, 3, 37, 27, 11, 7, 17, 13, 1, 9, 29]","[5, 6, 8, 10, 12, 15, 16, 19, 20, 21, 23, 25, 26, 28, 31, 33, 34, 35, 36, 39]"
0,1,37,sjepa,3.9878411293029785,0.45,"[5, 6, 8, 10, 12, 15, 16, 19, 20, 21, 23, 25, 26, 28, 31, 33, 34, 35, 36, 39]","[22, 18, 0, 38, 32, 14, 2, 24, 30, 4, 3, 37, 27, 11, 7, 17, 13, 1, 9, 29]"
0,0,41,physiology,2.2147170719845173,0.45,"[30, 24, 36, 8, 12, 38, 28, 32, 26, 0, 7, 33, 17, 19, 15, 11, 13, 3, 31, 23]","[1, 2, 4, 5, 6, 9, 10, 14, 16, 18, 20, 21, 22, 25, 27, 29, 34, 35, 37, 39]"
0,1,41,physiology,2.26316319996589,0.4,"[1, 2, 4, 5, 6, 9, 10, 14, 16, 18, 20, 21, 22, 25, 27, 29, 34, 35, 37, 39]","[30, 24, 36, 8, 12, 38, 28, 32, 26, 0, 7, 33, 17, 19, 15, 11, 13, 3, 31, 23]"
0,0,41,riemann,8.783307065231666,0.5,"[30, 24, 36, 8, 12, 38, 28, 32, 26, 0, 7, 33, 17, 19, 15, 11, 13, 3, 31, 23]","[1, 2, 4, 5, 6, 9, 10, 14, 16, 18, 20, 21, 22, 25, 27, 29, 34, 35, 37, 39]"
0,1,41,riemann,8.467763745141134,0.44999999999999996,"[1, 2, 4, 5, 6, 9, 10, 14, 16, 18, 20, 21, 22, 25, 27, 29, 34, 35, 37, 39]","[30, 24, 36, 8, 12, 38, 28, 32, 26, 0, 7, 33, 17, 19, 15, 11, 13, 3, 31, 23]"
0,0,41,sjepa,3.998499631881714,0.55,"[26, 22, 4, 32, 38, 14, 10, 6, 2, 36, 15, 11, 23, 17, 25, 7, 35, 3, 31, 21]","[0, 1, 5, 8, 9, 12, 13, 16, 18, 19, 20, 24, 27, 28, 29, 30, 33, 34, 37, 39]"
0,1,41,sjepa,3.4477176666259766,0.5,"[0, 1, 5, 8, 9, 12, 13, 16, 18, 19, 20, 24, 27, 28, 29, 30, 33, 34, 37, 39]","[26, 22, 4, 32, 38, 14, 10, 6, 2, 36, 15, 11, 23, 17, 25, 7, 35, 3, 31, 21]"
1,0,1,physiology,1.2119932055990217,0.55,"[10, 12, 2, 4, 34, 32, 36, 8, 24, 16, 3, 1, 7, 15, 31, 29, 25, 39, 9, 5]","[0, 6, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 37, 38]"
1,1,1,physiology,1.6895292399486113,0.55,"[0, 6, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 37, 38]","[10, 12, 2, 4, 34, 32, 36, 8, 24, 16, 3, 1, 7, 15, 31, 29, 25, 39, 9, 5]"
1,0,1,riemann,7.189112761624322,0.45,"[10, 12, 2, 4, 34, 32, 36, 8, 24, 16, 3, 1, 7, 15, 31, 29, 25, 39, 9, 5]","[0, 6, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 37, 38]"
1,1,1,riemann,7.164998410210239,0.44999999999999996,"[0, 6, 11, 13, 14, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 30, 33, 35, 37, 38]","[10, 12, 2, 4, 34, 32, 36, 8, 24, 16, 3, 1, 7, 15, 31, 29, 25, 39, 9, 5]"
1,0,1,sjepa,2.7902278900146484,0.6,"[12, 24, 22, 0, 30, 26, 2, 36, 6, 8, 5, 15, 9, 23, 21, 27, 35, 33, 11, 17]","[1, 3, 4, 7, 10, 13, 14, 16, 18, 19, 20, 25, 28, 29, 31, 32, 34, 37, 38, 39]"
1,1,1,sjepa,4.685210227966309,0.35,"[1, 3, 4, 7, 10, 13, 14, 16, 18, 19, 20, 25, 28, 29, 31, 32, 34, 37, 38, 39]","[12, 24, 22, 0, 30, 26, 2, 36, 6, 8, 5, 15, 9, 23, 21, 27, 35, 33, 11, 17]"
1,0,3,physiology,1.382490434973063,0.44999999999999996,"[8, 10, 0, 34, 6, 26, 36, 32, 18, 2, 21, 3, 15, 31, 1, 5, 27, 9, 35, 11]","[4, 7, 12, 13, 14, 16, 17, 19, 20, 22, 23, 24, 25, 28, 29, 30, 33, 37, 38, 39]"
1,1,3,physiology,2.2572705211162325,0.4,"[4, 7, 12, 13, 14, 16, 17, 19, 20, 22, 23, 24, 25, 28, 29, 30, 33, 37, 38, 39]","[8, 10, 0, 34, 6, 26, 36, 32, 18, 2, 21, 3, 15, 31, 1, 5, 27, 9, 35, 11]"
1,0,3,riemann,6.7314343205509255,0.4,"[8, 10, 0, 34, 6, 26, 36, 32, 18, 2, 21, 3, 15, 31, 1, 5, 27, 9, 35, 11]","[4, 7, 12, 13, 14, 16, 17, 19, 20, 22, 23, 24, 25, 28, 29, 30, 33, 37, 38, 39]"
1,1,3,riemann,9.532721459311917,0.5,"[4, 7, 12, 13, 14, 16, 17, 19, 20, 22, 23, 24, 25, 28, 29, 30, 33, 37, 38, 39]","[8, 10, 0, 34, 6, 26, 36, 32, 18, 2, 21, 3, 15, 31, 1, 5, 27, 9, 35, 11]"
